"","Away Team","Home Team","Line","ATOR","ATDR","HTOR","HTDR","Away Score","Home Score","Predictor","Prediction","Line Result","Bet.Result"
"125","IDA","CSU",8,0.85,0.65,0.59,1.13,34,36,74,"IDA","CSU","Lose"
"126","NEV","BYU",4,1.28,0.85,0.74,1.06,27,13,75,"NEV","NEV","Lose"
"127","NT","FAU",-10,0.74,1.03,0.9,1.05,21,17,-14,"FAU","NT","Win"
"128","USM","LT",3.5,0.98,0.86,0.74,0.96,13,12,34,"USM","LT","Lose"
"129","OHIO","MARSH",-6.5,0.62,0.89,0.69,1,23,24,4,"OHIO","OHIO","Lose"
"130","MTSU","ULL",2,0.81,0.91,0.81,0.94,34,14,2.99999999999999,"MTSU","MTSU","Lose"
"131","UGA","MISS ST",-1,0.95,0.84,0.86,0.82,12,24,6.99999999999999,"UGA","MISS ST","Lose"
"132","NMSU","KAN",-23.5,0.81,1.16,0.82,0.91,16,42,-26,"KAN","KAN","Win"
"133","AKR","IND",-22.5,0.78,1.07,1.14,0.83,20,35,-60,"IND","AKR","Win"
"134","WKU","USF",-27.5,0.9,1.29,0.88,0.9,12,24,-37,"USF","WKU","Win"
"135","FRESNO","MISS",-2,1.07,0.83,0.94,0.95,38,55,25,"FRESNO","MISS","Lose"
"136","USU","SDSU",-8.5,0.92,0.89,1.07,0.72,7,41,-32,"SDSU","SDSU","Win"
"137","BAY","RICE",8,0.88,0.84,0.69,0.95,30,13,30,"BAY","BAY","Lose"
"138","NIU","MINN",-4,0.91,0.9,0.99,1.03,34,23,5,"NIU","NIU","Lose"
"139","MEM","UTEP",-11.5,0.81,1.03,1.02,0.96,13,16,-28,"UTEP","MEM","Win"
"140","NM","UNLV",-10.5,0.55,1.18,0.69,1.08,10,45,-24,"UNLV","UNLV","Win"
"141","TEXAM","OKLA ST",-3.5,0.91,0.6,1.18,0.8,35,38,-6.99999999999998,"OKLA ST","TEXAM","Win"
"142","BYU","USU",4,0.76,1.04,0.86,0.95,16,31,-19,"USU","USU","Win"
"143","ULM","AUB",-35,0.79,0.93,1.07,0.84,3,52,-37,"AUB","AUB","Win"
"144","UF","ALA",-8.5,1.02,0.59,1.15,0.68,6,31,-3.99999999999998,"UF","ALA","Lose"
"145","OSU","ILL",16.5,1.18,0.59,0.89,0.82,24,13,52,"OSU","ILL","Lose"
"146","BOISE","NMSU",43,1.07,0.77,0.86,1.18,59,0,62,"BOISE","BOISE","Lose"
"147","STAN","ORE",-6.5,1.14,0.68,1.09,0.53,31,52,-10,"ORE","ORE","Win"
"148","TCU","CSU",33.5,1.19,0.74,0.73,1.13,27,0,85,"TCU","CSU","Lose"
"149","TEX","OKLA",3.5,0.83,0.76,0.97,0.78,20,28,-12,"OKLA","OKLA","Win"
"150","WISC","MSU",1.5,1.2,0.8,1.15,0.73,24,34,-2,"MSU","MSU","Win"
"151","TENN","LSU",-16.5,0.86,0.83,0.83,0.65,14,16,-15,"TENN","TENN","Lose"
"152","MIAFL","CLEM",3,0.92,0.69,1.14,0.82,30,21,-8.99999999999999,"CLEM","MIAFL","Win"
"153","PSU","IOWA",7.5,0.86,0.81,1.11,0.66,3,24,-40,"IOWA","IOWA","Win"
"154","WASH","USC",-10,0.96,1.01,1.08,0.83,32,31,-30,"USC","WASH","Win"
"155","MICH","IND",10,1.24,0.87,1.16,0.88,42,35,9.00000000000001,"IND","IND","Win"
"156","VT","NCSU",3.5,0.98,0.81,1.02,0.78,41,30,-7.00000000000001,"NCSU","VT","Win"
"157","NEV","UNLV",20.5,1.21,0.84,0.81,0.93,44,26,49,"NEV","UNLV","Lose"
"158","VANDY","CONN",7,0.87,0.89,0.95,0.79,21,40,-18,"CONN","CONN","Win"
"159","NW","MINN",5.5,1.03,0.71,0.98,1.05,29,28,39,"NW","MINN","Lose"
"160","KAN","BAY",-8.5,0.92,0.92,0.92,0.82,6,55,-10,"BAY","BAY","Win"
"161","FSU","UVA",6.5,1,0.77,1,0.76,34,14,-1,"UVA","FSU","Win"
"162","TEMP","ARMY",6,0.81,0.84,1.12,0.79,42,35,-36,"ARMY","TEMP","Win"
"163","OHIO","EMU",10,0.71,0.93,0.85,1.24,30,17,17,"OHIO","OHIO","Lose"
"164","UK","MISS",-3,1.15,0.86,1.01,0.97,35,42,25,"UK","MISS","Lose"
"165","KENT","MIAOH",3,0.62,0.75,0.77,0.85,21,27,-5,"MIAOH","MIAOH","Win"
"166","TULANE","RUT",-17.5,0.77,0.84,0.81,0.78,17,14,-10,"TULANE","TULANE","Lose"
"167","IDA","WMU",3.5,0.91,0.77,0.8,0.93,33,13,27,"IDA","IDA","Lose"
"168","NAVY","AFA",-9.5,1.06,0.84,1.16,0.85,6,14,-8.99999999999999,"NAVY","NAVY","Lose"
"169","BALL","CMU",-19.5,0.77,1,0.96,0.76,31,17,-43,"CMU","BALL","Win"
"170","WSU","UCLA",-24.5,0.76,1.08,0.78,0.8,28,42,-30,"UCLA","WSU","Win"
"171","ECU","UNC",-14,1.04,1.06,0.83,0.85,17,42,0,"ECU","UNC","Lose"
"172","BUFF","BGSU",-3,0.67,0.81,0.8,0.98,28,26,3.99999999999999,"BUFF","BUFF","Lose"
