Year,Week,Away Team,Home Team,Line,Over/Under,ATOR,ATDR,HTOR,HTDR,Score,Neutral
2010,7,MIZZ,TEXAM,-3.5,,0.97,0.67,0.82,0.72,30-9,
2010,7,MISS ST,UF,-8,,1.01,0.79,0.90,0.73,10-7,
2010,7,AFA,SDSU,1,,1.16,0.85,1.06,0.77,25-27,
2010,7,ORG ST,WASH,-2,,1.03,0.98,0.94,1.03,34-35,
2010,7,ARK ST,IND,-10,,0.88,1.02,1.00,1.04,34-36,
2010,7,NCSU,ECU,7.5,,0.94,0.80,0.93,1.06,27-33,
2010,7,PITT,SYR,2,,0.91,0.88,0.99,0.78,45-14,
2010,7,MARY,CLEM,-14.5,,1.02,0.77,0.94,0.82,7-31,
2010,7,USM,MEM,14.5,,0.94,0.77,0.73,1.09,41-19,
2010,7,MIAOH,CMU,-13.5,,0.78,0.94,0.86,0.87,27-20,
2010,7,MINN,PUR,-5.5,,0.97,1.03,0.88,0.90,17-28,
2010,7,VANDY,UGA,-14,,0.93,0.84,0.97,0.90,0-43,
2010,7,MIAFL,DUKE,18,,0.85,0.75,0.84,1.07,28-13,
2010,7,BGSU,TEMP,-20,,0.75,0.97,0.89,0.95,27-28,
2010,7,EMU,BALL,-10.5,,0.80,1.20,0.81,0.94,41-38,
2010,7,ARMY,RUT,-7,,1.13,0.85,0.83,0.78,20-23,
2010,7,AKR,OHIO,-16.5,,0.74,1.08,0.86,0.92,10-38,
2010,7,UNLV,CSU,-3,,0.79,1.05,0.74,1.14,10-43,
2010,7,WMU,ND,-24.5,,0.81,0.81,0.82,0.88,20-44,
2010,7,HOU,RICE,9.5,,0.98,0.88,0.78,1.05,31-34,
2010,7,CAL,USC,-2.5,,1.06,0.69,1.09,0.90,14-48,
2010,7,MTSU,GT,-18.5,,0.81,0.93,1.01,0.93,14-42,
2010,7,WAKE,VT,-22.5,,0.91,0.99,1.02,0.79,52-21,
2010,7,SMU,NAVY,-1.5,,0.96,0.88,0.98,0.87,21-28,
2010,7,BUFF,NIU,-14,,0.69,0.73,1.05,0.88,14-45,
2010,7,IDA,LT,1.5,,0.87,0.71,0.77,0.92,35-48,
2010,7,UTEP,UAB,-2.5,,1.01,0.86,0.81,1.00,6-21,
2010,7,UNC,UVA,6.5,,0.91,0.83,0.93,0.90,44-10,
2010,7,KENT,TOLEDO,-3.5,,0.69,0.70,0.79,0.88,21-34,
2010,7,ULL,TROY,-20.5,,0.81,0.98,0.97,0.78,24-31,
2010,7,ULM,WKU,-2.5,,0.74,0.98,0.86,1.22,35-30,
2010,7,TULANE,TULSA,-18,,0.77,0.90,1.00,0.93,24-52,
2010,7,BAY,COL,2,,1.03,0.86,0.85,0.86,31-25,
2010,7,FIU,NT,5,,0.82,0.90,0.83,0.99,34-10,
2010,7,NMSU,FRESNO,-30,,0.77,1.14,0.97,0.98,10-33,
2010,8,UCLA,ORE,-26,,0.79,0.88,1.12,0.65,13-60,
2010,8,USF,CIN,-8.5,,0.82,0.82,0.98,0.93,38-30,
2010,8,LSU,AUB,-5.5,,0.86,0.70,1.17,0.86,17-24,
2010,8,OKLA,MIZZ,3,,1.02,0.76,0.98,0.69,27-36,
2010,8,AFA,TCU,-18.5,,1.12,0.88,1.19,0.67,7-38,
2010,8,MSU,NW,6,,1.09,0.74,1.00,0.78,35-27,
2010,8,ALA,TENN,16.5,,1.08,0.71,0.84,0.87,41-10,
2010,8,CSU,UTAH,-30.5,,0.82,1.08,1.14,0.76,6-59,
2010,8,PUR,OSU,-23.5,,0.91,0.84,1.08,0.69,0-49,
2010,8,WSU,STAN,-36,,0.76,1.07,1.10,0.85,28-38,
2010,8,WISC,IOWA,-6,,1.18,0.85,1.11,0.71,31-30,
2010,8,NEB,OKLA ST,6,,1.10,0.75,1.08,0.80,51-41,
2010,8,WASH,ARZ,-6.5,,0.94,1.00,1.02,0.71,14-44,
2010,8,ISU,TEX,-20.5,,0.84,1.00,0.84,0.78,28-21,
2010,8,SYR,WVU,-13.5,,0.91,0.85,0.95,0.71,19-14,
2010,8,SC,VANDY,12,,1.00,0.89,0.88,0.91,21-7,
2010,8,KAN ST,BAY,-6.5,,1.09,0.87,1.04,0.87,42-47,
2010,8,MISS,ARK,-10,,0.97,0.93,1.00,0.87,24-38,
2010,8,UAB,MISS ST,-20,,0.85,0.92,1.01,0.78,24-29,
2010,8,DUKE,VT,-27,,0.76,1.04,1.06,0.82,7-44,
2010,8,PSU,MINN,9.5,,0.81,0.86,0.91,1.04,33-21,
2010,8,RUT,PITT,-12.5,,0.82,0.82,0.96,0.83,21-41,
2010,8,IND,ILL,-13,,0.99,1.03,0.83,0.83,13-43,
2010,8,TEMP,BUFF,8,,0.90,0.93,0.68,0.78,42-0,
2010,8,ND,NAVY,-6.5,,0.87,0.84,1.01,0.86,17-35,
2010,8,MARY,BC,-4,,0.93,0.78,0.68,0.73,24-21,
2010,8,OHIO,MIAOH,3,,0.91,0.90,0.80,0.88,34-13,
2010,8,FAU,ARK ST,-7.5,,0.80,0.97,0.90,1.01,16-37,
2010,8,WYO,BYU,-10.5,,0.76,1.06,0.75,1.04,20-25,
